time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:40:48.440",0.17849,-0.00764,-0.3114,0.08631,0.035,0.0147,23.73014,-0.03429,0.0087,0.00097,859.87524,-0.02103,0.074,-0.06895,-0.11709,0.05721,0.182,0.22788,-0.03634,0.09072
="2026/04/02 15:40:48.460",0.01799,-0.00327,-0.31905,0.41009,-0.00811,0.2446,25.83199,0.04966,-0.029,0.01685,861.77606,-0.1059,0.05026,-0.10062,0.27453,-0.02251,-0.18384,-0.01885,-0.02523,-0.03094
="2026/04/02 15:40:48.480",0.04102,0.04762,-0.33051,0.04875,-0.0745,0.47953,25.5684,-0.00821,0.01791,0.03276,862.77039,0.13477,-0.0169,0.00209,0.20414,0.01887,-0.14481,0.02003,0.01046,-0.15463
="2026/04/02 15:40:48.500",-0.07905,0.01982,-0.21234,0.43978,0.16071,-0.64873,24.02655,-0.07918,-0.01738,-0.03036,866.02167,-0.03646,0.03028,-0.13104,0.01058,0.02932,-0.10905,0.14619,0.01897,0.03572
="2026/04/02 15:40:48.520",-0.08712,0.00804,-0.10279,0.0775,-0.0735,0.2393,23.40664,-0.06691,-0.01194,-0.02823,867.81909,0.09337,-0.08471,0.11735,0.41568,-0.02372,-0.39425,-0.24426,0.01348,-0.16956
="2026/04/02 15:40:48.540",-0.08003,0.0306,-0.01529,0.0995,0.13886,-0.75062,20.79352,-0.05179,0.01275,0.0373,868.87848,-0.04645,-0.01585,0.06863,-0.13619,0.07814,-0.1598,0.12422,-0.00397,0.07819
="2026/04/02 15:40:48.560",-0.2091,-0.00378,0.08314,0.05608,0.06102,-0.48813,19.90392,-0.00885,-0.00293,0.02128,870.6781,-0.14318,0.01048,0.1539,0.22758,0.02354,-0.27028,-0.34687,0.0281,0.09681
="2026/04/02 15:40:48.580",-0.05314,0.03886,0.1796,-0.23204,-0.03574,-0.1257,18.23683,-0.02937,0.00991,0.03325,869.8634,0.0063,-0.02463,0.18219,0.04629,0.03424,-0.26216,-0.04804,0.00545,-0.02166
="2026/04/02 15:40:48.600",-0.0189,-0.13758,0.40151,-0.05081,0.21255,-0.99097,17.19695,0.031,-0.02515,0.04092,869.73981,-0.21033,0.09127,0.07676,-0.17772,0.01691,0.0162,0.06148,0.00311,0.09699
="2026/04/02 15:40:48.620",0.00808,-0.06847,0.35341,-0.38278,-0.1116,0.12002,17.35229,-0.04553,0.03083,-0.02031,867.80957,-0.06511,-0.01726,0.14786,0.20886,-0.03126,-0.16119,-0.33474,-0.01338,0.12787
="2026/04/02 15:40:48.640",0.11031,-0.0621,0.28429,-0.00177,0.04915,-0.45945,16.78071,-0.01644,-0.00254,0.01958,865.1792,-0.03552,0.00736,-0.05937,-0.29709,0.01014,0.18249,0.31011,-0.04141,0.07976
="2026/04/02 15:40:48.660",0.13057,-0.14464,0.24728,-0.14649,0.07152,-0.12961,18.99758,-0.03547,-0.00221,-0.00661,862.84796,-0.13249,-0.02392,0.02771,0.12082,-0.03756,0.0863,-0.3019,-0.03617,0.2469
="2026/04/02 15:40:48.680",0.21461,0.05049,0.07787,-0.05428,-0.05988,0.57062,20.64725,0.03108,0.00636,0.02929,860.17059,-0.04155,-0.05543,0.08954,-0.02014,-0.03111,0.08137,0.15664,-0.02978,-0.03579
